File Name,File Path,Labels,sample_rate,emotions
03-01-01-01-02-02-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-01-01-02-02-01.wav, Dogs are sitting by the door.,48000,01
03-01-02-02-01-02-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-02-02-01-02-01.wav, Kids are talking by the door.,48000,02
03-01-07-01-01-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-07-01-01-01-01.wav, Kids are talking by the door.,48000,07
03-01-01-01-01-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-01-01-01-01-01.wav, Kids are talking by the door.,48000,01
03-01-06-01-02-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-06-01-02-01-01.wav, Dogs are sitting by the door.,48000,06
03-01-03-02-01-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-03-02-01-01-01.wav, Kids are talking by the door.,48000,03
03-01-08-02-01-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-08-02-01-01-01.wav, Kids are talking by the door.,48000,08
03-01-02-02-02-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-02-02-02-01-01.wav, Dogs are sitting by the door.,48000,02
03-01-04-01-01-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-04-01-01-01-01.wav, Kids are talking by the door.,48000,04
03-01-06-01-01-02-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-06-01-01-02-01.wav, Kids are talking by the door.,48000,06
03-01-08-01-02-01-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-08-01-02-01-01.wav, Dogs are sitting by the door.,48000,08
03-01-04-02-02-02-01.wav,/home/drjslab/LAB-01/Identify-emotions-in-speech/Experiment 03.01/RAVDEES/Actor_01/03-01-04-02-02-02-01.wav, Dogs are sitting by the door.,48000,04
